Name, price, Discount ,
OPPO F19 6 GB 128 GB Prism Black,19490,-7%,
OPPO A54 4 GB 64 GB Crystal Black,14178,-5%,
Redmi 9 4 GB 64 GB Sky Blue,10449,-5%,
Vivo Y20i 3 GB 64 GB Nebula Blue,11490,-26%,
OPPO A54 6 GB 128 GB Crystal Black,16990,-6%,
I Kall Z6 4 GB 64 GB Grey,7299,-19%,
Mi 11X 5G 6 GB 128 GB Lunar White,29990,-12%,
Tecno Spark 7 2 GB 32 GB Magnet Black,8690,-3%,
Samsung Galaxy M31 6 GB 128 GB Ocean Blue,16999,-13%,
Realme 8 Pro 6 GB 128 GB Infinite Black,19999,NA,
Apple iPhone 11 128 GB Green(Without Earphone & Adapter),59900,NA,
Vivo Y33s 8 GB 128 GB Midday Dream,17990,-18%,
OnePlus 8 8 GB 128 GB Glacial Green,44499,-1%,
Oppo F19 Pro 8 GB 256 GB Fluid Black,23490,-10%,
Samsung Galaxy A22 6 GB 128 GB Mint,18499,-10%,
POCO C3 3 GB 32 GB (Arctic Blue),8496,-15%,
Realme C25s 4 GB 128 GB Watery Blue,11990,NA,
Samsung Galaxy Note 20 8 GB 256 GB Mystic Green,65999,-23%,
Vivo Y20G 4 GB 64 GB Obsidian Black,13990,-18%,
Vivo V21 5G 8 GB 256 GB Dusk Blue,32990,-8%,
Vivo X60 Pro 12 GB 256 GB Midnight Black,49990,-9%,
Vivo Y12G 3 GB 32 GB Phantom Black,10990,-27%,
Vivo Y20G 4 GB 64 GB Purist Blue,13990,-18%,
Mi 11X 5G 6 GB 128 GB Celestial Silver,24900,-27%,
Redmi 9A 2 GB 32 GB Midnight Black,7628,-10%,
Vivo Y21 4 GB 64 GB Diamond Glow,13990,-22%,
OnePlus 8 12 GB 256 GB Glacial Green,48999,-2%,
Samsung Galaxy A52 6 GB 128 GB Black,26499,-13%,
Realme C11 2021 2 GB 32 GB Cool Blue,7897,-1%,
Oppo F19 Pro 8 GB 256 GB Crystal Silver,23490,-10%,
Micromax IN 1b 4 GB 64 GB Blue,9999,-5%,
Redmi 9A 2 GB 32 GB Sea Blue,7628,-10%,
,,,
