Name, price, Discount 
Philips BT1232/15 Beard T,899,-5%
Syska HT 200 PRO Beard Tr,699,-30%
Syska HD1600 TRENDSETTER ,745,-25%
Philips BT3101/15 Beard T,1299,-13%
Philips HP8100/60 1000 W ,759,-10%
Philips HP8120 1200 W Hai,1099,-18%
Philips BT1230/15 Beard T,847,-5%
Nova NHP 8100 1200 W Hair,499,-41%
Syska HT3500K Grooming Ki,1599,-36%
DOMAZO 1290 1000 W Hair D,285,-89%
Philips BT3221/15 CORDED ,2149,-10%
Philips BT3211/15 Beard T,1749,-8%
Syska Hs-6810 Hair Straig,745,-43%
Pick Ur Needs 6015 5000 W,875,-46%
Vega VHDH-05 1000 W Hair ,778,-13%
VGR V-183 Grooming Kit Fo,599,-76%
Philips Hp8302/00 Hair St,1149,-11%
DOMAZO DMZ 216 Beard Trim,349,-91%
GLUCKLICH HH1 1000 W Hair,299,-57%
Vega Vhss-03 Hair Styler ,2099,-26%
Orbit Rsw-20 For Men ( Bl,1099,-56%
Mi XXQ01HM Beard Trimmer ,1475,-18%
Syska Hs6810 Hair Straigh,729,-38%
Rock light RL-HD6012 4000,899,-10%
Philips Bre235/00 satinel,2519,-10%
VGR V-055 Grooming Kit Fo,695,-72%
EDDNA Edns2019 Hair Strai,370,-63%
Syska Hc700 Hair Curler (,1136,-39%
Havells HD3275 2000 W Hai,1750,-27%
Philips S3122/55 Men's Sh,3488,-13%
Vega Vhscc-03 Hair Styler,1999,NA
Mi XXQ02HM Multi-Function,1139,-5%
